Source Airport ID,Destination Airport ID
31,36
36,31
39,54
39,74
54,39
54,99
74,39
99,54
53,67
67,53
31,68
36,67
67,36
68,31
48,98
98,48
44,72
48,89
48,99
55,72
55,99
62,64
64,62
72,44
72,55
72,99
89,48
99,48
99,55
99,72
0,2
0,3
0,1
0,4
2,0
2,3
2,1
2,4
2,5
3,0
3,2
3,1
3,4
1,0
1,2
1,3
1,5
4,0
4,2
4,3
5,2
5,1
15,48
48,15
7,15
7,8
7,6
15,7
8,7
8,6
6,7
6,8
48,71
71,48
10,17
11,17
7,17
14,17
17,10
17,11
17,7
17,14
27,70
70,27
35,72
72,35
76,44
1,4
4,1
4,5
5,4
48,69
48,86
69,48
69,72
72,69
86,48
