Latitude,Longitude
Latitude,Longitude
70.1340026855,-143.582000732
70.61340332,-159.8600006
68.87509918,-166.1100006
69.73290253,-163.0050049
19.7213993073,-155.04800415
28.5455,-81.332901
66.91390228,-151.529007
64.301201,-149.119995
65.99279785,-153.7039948
66.5715026855,-145.25
61.09740067,-155.5740051
61.26639938,-149.6529999
62.8944015503,-155.977005005
61.78030014,-166.0390015
42.47000122,-71.28900146
57.167301178,-170.220001221
58.6464004517,-162.06300354
56.5783004761,-169.662002563
59.75439835,-154.9109955
59.0113983154,-161.820007324
59.3611984253,-155.259002686
44.451599,-83.394096
36.68190002,-121.762001
38.55390167,-121.2979965
35.2804985046,-116.629997253
34.2961998,-116.1620026
35.3366012573,-94.367401123
61.2135009766,-149.843994141
35.167301178,-107.902000427
36.73199844,-97.09980011
32.00999832,-81.14569855
47.949299,-97.176102
34.1731,-91.9356
30.7241993,-87.02189636
20.7956008911,-156.014007568
34.65449905,-112.4199982
40.2766990662,-74.8134994507
42.36429977,-71.00520325
38.2626991272,-121.927001953
43.23379898,-75.40699768
40.7187004089,-114.03099823
30.6268005371,-88.0680999756
37.721298,-122.221001
41.3032,-95.894096
48.1414985657,-123.414001465
20.8986,-156.429993
37.649899,-97.433098
39.2976,-94.713898
43.1399002075,-89.3375015259
59.04470062,-158.5050049
36.2615013123,-93.1547012329
33.434299469,-112.012001038
44.8073997498,-68.8281021118
26.1972999573,-80.1707000732
32.3839988708,-94.7115020752
34.4945983887,-82.7093963623
47.6198997498,-117.533996582
26.0012,-80.2407
37.6189994812,-122.375
48.6083984375,-112.375999451
30.0378,-91.883904
29.6900997162,-82.2717971802
35.0424003601,-89.9766998291
31.4689998627,-109.603996277
63.9944992065,-145.722000122
31.6378002167,-97.0740966797
55.0424003601,-131.572006226
46.8714981079,-68.0178985596
34.9169006348,-92.1496963501
34.67869949,-86.68479919
35.1708984375,-79.014503479
36.0225982666,-102.54699707
29.359501,-100.778002
33.94250107,-118.4079971
33.5882,-85.8581
41.4117012024,-81.8498001099
39.12950134,-75.46600342
39.0488014221,-84.6678009033
39.0853996277,-76.7593994141
35.6853981,-117.6920013
44.3852005005,-98.2285003662
58.3549995422,-134.576004028
30.20529938,-91.98760223
40.6925010681,-74.1687011719
43.5644,-116.223
36.5872001648,-115.672996521
37.9275016785,-100.723999023
48.2593994141,-101.279998779
21.48349953,-158.0399933
32.3829,-86.365799
34.85010147,-92.30020142
32.847099,-96.851799
38.67839813,-104.7570038
46.6068000793,-111.983001709
32.86840057,-117.1429977
33.5349998474,-112.383003235
30.4277992249,-86.6893005371
33.922798,-118.334999
46.1231002808,-67.792098999
36.3391990662,-97.9164962769
34.120300293,-119.121002197
34.905399,-117.884003
30.1261005402,-93.2232971191
19.738783,-156.045603
33.6796989441,-78.9282989502
36.33300018,-119.9520035
41.25310135,-70.06020355
37.1324996948,-76.6088027954
36.668598175,-87.4962005615
38.8521,-77.037697
38.285999,-76.411797
28.7275009155,-96.2509994507
35.9642982483,-89.9440002441
39.4575996399,-74.5772018433
35.4146995544,-97.3865966797
36.26060104,-76.17459869
38.289100647,-104.497001648
46.68899918,-68.0447998
47.07920074,-122.5810013
57.75,-152.4940033
20.2653007507,-155.86000061
26.072599,-80.152702
35.656502,-95.366699
48.5662002563,-93.4030990601
40.7883987427,-111.977996826
34.4337997437,-100.288002014
30.4104003906,-88.9244003296
32.3372993469,-84.9913024902
27.5072002411,-97.8097000122
39.05530167,-96.76450348
40.1935005188,-76.7633972168
40.8510017395,-96.7592010498
42.7787017822,-84.5874023438
20.0013008118,-155.667999268
44.935798645,-74.8455963135
35.74110031,-81.38950348
27.7651,-82.626999
26.58659935,-81.8632965088
29.9843997955,-95.3414001465
45.6478004456,-68.6856002808
38.810799,-76.866997
36.1337013245,-80.2220001221
34.5974998474,-117.383003235
30.778799057,-86.522102356
44.05559921,-75.71949768
42.9109993,-82.52890015
35.43360138,-119.0569992
31.80719948,-106.3779984
26.2285003662,-97.6544036865
33.9388008118,-81.1194992065
32.1665000916,-110.883003235
30.35269928,-87.31860352
30.473400116,-87.1865997314
47.961101532,-97.4011993408
29.64539909,-95.27890015
39.7016983032,-104.751998901
62.9612999,-141.9290009
61.594898,-149.08901
40.49150085,-80.23290253
71.285402,-156.766008
29.6072998047,-95.1587982178
48.351799,-122.655998
27.7409000397,-98.0269012451
30.9678001404,-83.1930007935
25.7931995392,-80.2906036377
47.449001,-122.308998
35.0353012085,-85.2037963867
41.1635017395,-73.1261978149
32.3111991882,-90.0758972168
29.2653007507,-94.8603973389
33.81769943,-118.1520004
21.5795001984,-158.197006226
41.2417984009,-76.9210968018
39.7173,-86.294403
38.7303009033,-93.5478973389
41.0374984741,-81.4669036865
33.4943008423,-90.0847015381
41.0670013428,-73.7076034546
40.8437004089,-72.6317977905
35.8316993713,-90.6464004517
37.7988014221,-116.78099823
26.59300041,-80.08509827
32.69919968,-117.2149963
31.84950066,-106.3799973
32.65660095,-114.6060028
32.3375015259,-104.263000488
46.8420982361,-92.1936035156
60.77980042,-161.8379974
38.2280006409,-85.6636962891
31.5884990692,-110.34400177
21.9759998322,-159.339004517
39.4515,-87.307602
48.54299927,-109.762001
47.20769882,-119.3199997
44.20349884,-72.56230164
33.2397994995,-119.458000183
37.5051994324,-77.3197021484
32.446602,-93.8256
60.4917984,-145.4779968
36.8945999146,-76.2012023926
29.950799942,-94.0206985474
32.12760162,-81.20210266
41.12403,-111.973086
64.5121994019,-165.445007324
45.7709999084,-122.861999512
27.91020012,-82.68740082
45.126701,-87.638397
30.351801,-95.414497
70.19470215,-148.4649963
29.533700943,-98.4698028564
43.1189002991,-77.6724014282
28.2348995209,-80.6100997925
40.8501014709,-74.060798645
44.14500046,-103.1039963
35.8776016235,-78.7874984741
39.9024009705,-84.2193984985
60.5731010437,-151.244995117
34.882401,-95.783501
43.1072998047,-78.9461975098
30.7157001495,-96.3313980103
31.889099,-81.562303
37.13190079,-76.49299622
31.3948993683,-92.2957992554
34.667098999,-99.2667007446
32.1161003113,-110.941001892
48.4156,-101.358002
39.136100769,-121.43699646
41.0713996887,-87.8462982178
35.33940125,-77.96060181
41.732601,-71.420403
38.3404998779,-75.5102996826
38.4868011475,-121.102996826
34.2006988525,-118.35900116
42.2123985291,-83.3534011841
27.9755001068,-82.533203125
48.9425010681,-97.2407989502
31.0447998,-93.1917038
64.66570282,-147.102005
47.38660049,-92.83899689
31.2339992523,-94.75
31.9424991608,-102.202003479
44.4850997925,-88.1296005249
34.30301,-97.0196342
40.0155983,-74.59169769
34.90090179,-76.88069916
32.6091003418,-82.3699035645
33.3698997498,-81.9645004272
48.177898407,-103.641998291
34.7294006348,-92.2242965698
41.5041007996,-74.1047973633
48.7284011841,-94.612197876
38.5125007629,-121.492996216
59.6455993652,-151.477005005
37.74160004,-92.14070129
33.91540146,-84.51629639
47.6151008606,-117.65599823
44.359798,-84.671095
30.0695991516,-85.5754013062
32.896801,-97.038002
28.1028003693,-80.6453018188
47.1376991272,-122.475997925
30.1944999695,-97.6698989868
39.813801,-82.927803
46.3535995483,-87.395401001
35.81100082,-83.9940033
31.1387004852,-97.7145004272
38.748697,-90.370003
39.367802,-75.072197
33.9888,-98.491898
39.10329819,-84.41860199
33.6367,-84.428101
37.38050079,-120.5680008
38.66759872,-121.401001
42.88079834,-85.52279663
31.7796001434,-103.200996399
36.7761993408,-119.718002319
27.6556,-80.417901
32.8342018127,-115.57900238
36.1245002747,-86.6781997681
27.543800354,-99.4616012573
61.2509994507,-149.807006836
66.88469696,-162.598999
40.29639816,-78.31999969
32.4207992554,-99.854598999
33.2210006714,-92.8133010864
40.77719879,-73.87259674
