Latitude,Longitude
53.2141990662,-105.672996521
56.226898,-117.446999
49.903099,-98.273817
49.2160987854,-122.709999084
51.4463996887,-90.2142028809
49.8363990784,-64.2885971069
44.2299995422,-78.3632965088
54.2860984802,-130.445007324
58.76720047,-111.116996765
44.9747009277,-79.3032989502
46.7911,-71.393303
52.1822013855,-113.893997192
42.2756004333,-82.9555969238
60.1164016724,-128.822006226
49.7882995605,-94.3630981445
49.6302986145,-112.800003052
46.1122016907,-64.6785964966
49.7108001709,-124.887001038
50.4319000244,-104.666000366
48.3718986511,-89.3238983154
55.1796989441,-118.885002136
51.2647018433,-102.461997986
52.7691993713,-108.244003296
48.9369010925,-54.5680999756
46.1614,-60.047798
53.0261001587,-122.510002136
74.7169036865,-94.9693984985
47.7644004822,-69.5847015381
48.5200004578,-72.2656021118
52.4296989441,-114.903999329
62.8114013672,-92.1157989502
46.625,-80.7988967896
45.4385986328,-71.6913986206
45.3161010742,-65.890296936
60.0203018188,-111.961997986
72.982201,-84.613602
46.4406013489,-63.8335990906
71.9938964844,-125.242996216
64.2300033569,-76.5267028809
55.8011016846,-97.8641967773
44.1189002991,-77.5280990601
48.5696983337,-81.376701355
43.627499,-79.396202
69.4332962036,-133.026000977
45.4706001282,-73.7407989502
66.5214004517,-86.2247009277
68.7761001587,-81.2425
48.2061004639,-78.8356018066
55.1514015198,-105.262001038
53.3558006287,-110.823997498
67.5457992554,-64.0314025879
48.0532989502,-77.7827987671
58.0960998535,-68.426902771
65.2816009521,-126.797996521
49.193901062,-123.183998108
55.8418998718,-108.417999268
44.7458,-81.107201
45.9522018433,-77.3191986084
49.9099998474,-97.2398986816
52.9219017029,-66.864402771
52.1831016541,-122.054000854
63.209400177,-123.43699646
49.6108016968,-115.781997681
53.5724983215,-113.521003723
52.1707992554,-106.699996948
50.018901825,-110.721000671
56.2380981445,-120.739997864
50.113899231,-91.9052963257
66.1449966431,-65.7136001587
47.6974006546,-79.8473453522
53.8894004822,-122.679000854
54.468498,-128.576009
43.035599,-81.1539
49.0252990723,-122.361000061
60.7095985413,-135.067001343
46.363602,-79.422798
51.113899231,-114.019996643
54.8246994019,-127.182998657
58.8363990784,-122.597000122
49.4631004333,-119.601997375
46.2900009155,-63.1211013794
69.5466995239,-93.5766983032
48.646900177,-123.426002502
56.863899231,-101.075996399
50.2919006348,-107.691001892
58.739200592,-94.0650024414
53.3191986084,-60.4258003235
47.618598938,-52.7518997192
49.413898468,-82.4674987793
50.2902984619,-88.9096984863
48.6086006165,-68.2080993652
43.6772003174,-79.6305999756
43.7425003052,-79.4655990601
45.8852996826,-82.5678024292
62.4627990723,-114.440002441
55.2930984497,-114.777000427
53.2542991638,-131.813995361
42.9994010925,-82.3088989258
50.6805992126,-127.366996765
54.143901825,-115.787002563
50.2233009338,-66.2656021118
60.1727981567,-132.742996216
44.9844017029,-64.9169006348
62.2075004578,-133.37600708
67.4075012207,-134.860992432
36.5036010742,2.81416988373
35.3325004578,4.20638990402
36.7120018005,5.06992006302
36.6910018921,3.21540999413
24.292801,9.45244
36.545799,2.87611
26.7101,0.285647
26.7234992981,8.62265014648
35.5253982544,2.87871003151
22.8115005493,5.45107984543
36.7951011658,5.87361001968
33.535900116,-0.242353007197
35.752201,0.626272
36.822201,7.809174
36.2760009766,6.62038993835
35.4315986633,8.12071990967
32.9304008484,3.31153988838
35.3410987854,1.46315002441
35.7354011536,-0.805388987064
27.7003993988,-8.1670999527
36.2126998901,1.33176994324
35.5424003601,-0.532278001308
35.0167007446,-1.45000004768
35.6239013672,-0.621182978153
35.1717987061,-0.593275010586
35.207698822,0.147141993046
27.837600708,-0.186414003372
34.7933006287,5.73823022842
30.5713005066,2.85959005356
32.3841018677,3.79411005974
31.6730003357,6.14043998718
27.2509994507,2.51202011108
33.0677986145,6.08866977692
33.7644004822,2.92833995819
29.2371006012,0.276033014059
31.9172000885,5.41277980804
28.0515,9.64291
6.35723018646,2.38435006142
12.3532,-1.51242
11.1600999832,-4.33096981049
5.60518980026,-0.166786000133
9.55718994141,-0.863214015961
10.0826997757,-2.50768995285
7.36183023453,-2.32875990868
4.89605998993,-1.77476000786
5.2613902092,-3.92629003525
7.73880004883,-5.07366991043
6.79280996323,-6.47318983078
9.38718032837,-5.55666017532
7.27206993103,-7.58735990524
4.74671983719,-6.66082000732
6.9031701088,-5.36558008194
9.00679016113,7.26316976547
7.24673986435,5.30101013184
6.3169798851,5.59950017929
4.97601985931,8.34720039368
6.47426986694,7.56196022034
12.1717,6.69611
7.36246013641,3.97832989693
8.44021034241,4.4939198494
9.63982963562,8.86905002594
10.6960000992,7.32010984421
12.0476,8.52462
11.8552999496,13.0809001923
7.70388,8.61394
6.57737016678,3.32116007805
9.65217018127,6.46225976944
